Category,Subtype,Name,Latitude,Longitude
Religious,place_of_worship,Unnamed,24.577523,46.562709
Religious,place_of_worship,Unnamed,24.580012,46.564066
Religious,place_of_worship,Unnamed,24.583138,46.564526
Religious,place_of_worship,Unnamed,24.579123,46.548796
Religious,place_of_worship,Unnamed,24.576498,46.550912
Religious,place_of_worship,Unnamed,24.581172,46.544438
Religious,place_of_worship,Unnamed,24.578516,46.543932
Religious,place_of_worship,Unnamed,24.584267,46.541413
Religious,place_of_worship,Unnamed,24.584717,46.544725
Religious,place_of_worship,Unnamed,24.588819,46.574779
Religious,place_of_worship,Unnamed,24.911372,46.620112
Religious,place_of_worship,Unnamed,24.834358,46.884844
Religious,place_of_worship,Unnamed,24.832239,46.890261
Religious,place_of_worship,Unnamed,24.4225,46.867193
Religious,place_of_worship,Unnamed,24.665707,46.931732
Religious,place_of_worship,Unnamed,24.669417,46.92861
Religious,place_of_worship,Unnamed,24.663845,46.933456
Religious,place_of_worship,Unnamed,24.662205,46.935017
Religious,place_of_worship,Unnamed,24.660166,46.936841
Religious,place_of_worship,Unnamed,24.683647,46.914787
Religious,place_of_worship,Unnamed,24.685287,46.917064
Religious,place_of_worship,Unnamed,24.677441,46.92139
Religious,place_of_worship,Unnamed,24.680115,46.91991
Religious,place_of_worship,Unnamed,24.68412,46.925715
Religious,place_of_worship,Unnamed,24.682081,46.927483
Religious,place_of_worship,Unnamed,24.685878,46.922821
Religious,place_of_worship,Unnamed,24.672224,46.925764
Religious,place_of_worship,Unnamed,24.674884,46.92404
Religious,place_of_worship,Unnamed,24.682199,46.912185
Religious,place_of_worship,Unnamed,24.687873,46.902412
Religious,place_of_worship,Unnamed,24.702588,46.890248
Religious,place_of_worship,Unnamed,24.700121,46.889956
Religious,place_of_worship,Unnamed,24.678342,46.917617
Religious,place_of_worship,Unnamed,24.712278,46.888694
Religious,place_of_worship,Unnamed,24.717708,46.884405
Religious,place_of_worship,Unnamed,24.727403,46.876197
Religious,place_of_worship,Unnamed,24.728645,46.880917
Religious,place_of_worship,Unnamed,24.731914,46.887757
Religious,place_of_worship,Unnamed,24.741316,46.884528
Religious,place_of_worship,Unnamed,24.745469,46.88422
Religious,place_of_worship,Unnamed,24.740757,46.867459
Religious,place_of_worship,Unnamed,24.748211,46.883998
Religious,place_of_worship,Unnamed,24.532426,46.728563
Religious,place_of_worship,Unnamed,24.540045,46.723026
Religious,place_of_worship,Unnamed,24.54855,46.717919
Religious,place_of_worship,Unnamed,24.540292,46.694519
Religious,place_of_worship,Unnamed,24.544022,46.70128
Religious,place_of_worship,Unnamed,24.546371,46.697053
Religious,place_of_worship,Unnamed,24.548122,46.703657
Religious,place_of_worship,جامع أم إبراهيم الذياب,24.618812,46.748282
Religious,place_of_worship,Unnamed,24.844956,46.787528
Religious,place_of_worship,جامع ناصر بن مهنا السبيعي,24.838775,46.792094
Religious,place_of_worship,مسجد مهرة سعد آل سلطان,24.545601,46.519366
Religious,place_of_worship,Unnamed,24.76641,46.628712
Religious,place_of_worship,Unnamed,24.577207,46.772962
Religious,place_of_worship,Unnamed,24.568855,46.708095
Religious,place_of_worship,Unnamed,24.571597,46.703632
Religious,place_of_worship,Unnamed,24.576631,46.711437
Religious,place_of_worship,Unnamed,24.580963,46.767243
Religious,place_of_worship,Unnamed,24.584446,46.764142
Religious,place_of_worship,Unnamed,24.582505,46.761868
Religious,place_of_worship,Unnamed,24.579251,46.775097
Religious,place_of_worship,Unnamed,24.800434,46.835615
Religious,place_of_worship,Unnamed,24.810954,46.858086
Religious,place_of_worship,Unnamed,24.813344,46.858746
Religious,place_of_worship,Unnamed,24.808074,46.854872
Religious,place_of_worship,Unnamed,24.808001,46.858055
Religious,place_of_worship,Unnamed,24.804657,46.858426
Religious,place_of_worship,Unnamed,24.808346,46.870198
Religious,place_of_worship,Unnamed,24.810554,46.874543
Religious,place_of_worship,Unnamed,24.8108,46.869938
Religious,place_of_worship,Unnamed,24.813771,46.87193
Religious,place_of_worship,Unnamed,24.813925,46.876224
Religious,place_of_worship,Unnamed,24.849993,46.863076
Religious,place_of_worship,Unnamed,24.783288,46.806127
Religious,place_of_worship,مسجد خالد بن الوليد,24.742794,46.76163
Religious,place_of_worship,جامع إبراهيم العريفي,24.596486,46.756858
Religious,place_of_worship,مسجد الإيمان,24.600156,46.732686
Religious,place_of_worship,مسجد علي بن المديني,24.743277,46.758848
Religious,place_of_worship,Unnamed,24.641367,46.661252
Religious,place_of_worship,Unnamed,24.645938,46.66082
Religious,place_of_worship,Unnamed,24.645345,46.663255
Religious,place_of_worship,Unnamed,24.685924,46.58831
Religious,place_of_worship,Unnamed,24.674702,46.579585
Religious,place_of_worship,Unnamed,24.679541,46.578849
Religious,place_of_worship,Unnamed,24.678362,46.576346
Religious,place_of_worship,Unnamed,24.747734,46.528838
Religious,place_of_worship,Unnamed,24.746026,46.532465
Religious,place_of_worship,Unnamed,24.749347,46.524226
Religious,place_of_worship,Unnamed,24.749911,46.528247
Religious,place_of_worship,Unnamed,24.748465,46.532935
Religious,place_of_worship,Unnamed,24.668306,46.920612
Religious,place_of_worship,Unnamed,24.669961,46.922622
Religious,place_of_worship,Unnamed,24.730146,46.870032
Religious,place_of_worship,Unnamed,24.736067,46.870169
Religious,place_of_worship,Unnamed,24.671815,46.625661
Religious,place_of_worship,Unnamed,24.68439,46.650828
Religious,place_of_worship,Unnamed,24.688027,46.660609
Religious,place_of_worship,Unnamed,24.657032,46.622992
Religious,place_of_worship,Unnamed,24.771669,46.703427
Religious,place_of_worship,Unnamed,24.768532,46.693503
Religious,place_of_worship,Unnamed,24.753257,46.754093
Religious,place_of_worship,Unnamed,24.744839,46.754554
Religious,place_of_worship,Unnamed,24.738019,46.758134
Religious,place_of_worship,Unnamed,24.734638,46.754894
Religious,place_of_worship,Unnamed,24.69446,46.800669
Religious,place_of_worship,Unnamed,24.694983,46.757283
Religious,place_of_worship,Unnamed,24.530996,46.660674
Religious,place_of_worship,Unnamed,24.554615,46.633695
Religious,place_of_worship,Unnamed,24.560499,46.614104
Religious,place_of_worship,Unnamed,24.555952,46.616261
Religious,place_of_worship,Unnamed,24.876185,46.648176
Religious,place_of_worship,Unnamed,24.840295,46.632189
Religious,place_of_worship,Unnamed,24.771785,46.581644
Religious,place_of_worship,Unnamed,24.758091,46.627538
Religious,place_of_worship,Unnamed,24.763588,46.627386
Religious,place_of_worship,Unnamed,24.745896,46.601918
Religious,place_of_worship,Unnamed,24.644191,46.675642
Religious,place_of_worship,Unnamed,24.644311,46.696948
Religious,place_of_worship,Unnamed,24.612109,46.686778
Religious,place_of_worship,Unnamed,24.60736,46.664293
Religious,place_of_worship,Unnamed,24.580347,46.675923
Religious,place_of_worship,Unnamed,24.57619,46.666444
Religious,place_of_worship,Unnamed,24.602725,46.60275
Religious,place_of_worship,Unnamed,24.578236,46.589001
Religious,place_of_worship,Unnamed,24.575933,46.59149
Religious,place_of_worship,Unnamed,24.576538,46.589087
Religious,place_of_worship,Unnamed,24.582178,46.573895
Religious,place_of_worship,Unnamed,24.571679,46.587671
Religious,place_of_worship,Unnamed,24.585378,46.549412
Religious,place_of_worship,Unnamed,24.583426,46.554755
Religious,place_of_worship,Unnamed,24.57445,46.553875
Religious,place_of_worship,Unnamed,24.577065,46.553574
Religious,place_of_worship,Unnamed,24.585573,46.574774
Religious,place_of_worship,Unnamed,24.558096,46.567071
Religious,place_of_worship,Unnamed,24.556847,46.572028
Religious,place_of_worship,Unnamed,24.551539,46.556793
Religious,place_of_worship,Unnamed,24.559092,46.530701
Religious,place_of_worship,Unnamed,24.567386,46.531623
