site_id,latitude,longitude
RUHSM325,24.5786754649118,46.741595864296
RUHSM326,24.5788146164014,46.7415341734886
RUHSM336,24.9067906009768,46.977547109127
RUHSM337,24.9066907889091,46.9776409864426
RUHSM340,24.9288681103428,46.7166620492935
RUHSM345,24.6962883540936,46.8563032150269
RUHSM350,24.7642247877842,46.6931256651878
RUHSM358,24.7884113106178,46.6334706544876
RUHSM359,24.7553980581506,46.6502237319946
RUHSM360,24.5945431171705,46.7034012079239
RUHSM368,24.6352978544649,46.6226264834404
RUHSM369,24.6351466822632,46.6227042675018
RUHSM380,24.841429643951,46.8063712120056
RUHSM381,24.8413541914201,46.8061780929566
RUHSM396,24.3294130168959,46.8735444545746
RUHSM397,24.3294912044514,46.8738126754761
RUHSM432,24.8907017220214,46.8079134821892
RUHSM433,24.8907309072334,46.8077713251114
RUHSM451,24.6446348177146,46.6930103302002
RUHSM452,24.6443911519871,46.6931363940239
RUHSM455,24.5519562952254,46.6132870316506
RUHSM456,24.5520953694537,46.6132897138596
RUHSM458,24.8195554339359,46.7520859837532
RUHSM459,24.5847343246958,46.6552877426148
RUHSM460,24.5848514020341,46.6554942727089
RUHSM467,24.6270665833972,46.5201660990715
RUHSM468,24.6266960872229,46.5199971199036
RUHSM525,25.012863802906,46.6809833049774
RUHSM526,25.0128613773877,46.6811040043831
RUHSM530,24.6072056361663,46.660198867321
RUHSM531,24.6073153598916,46.6601157188416
RUHSM540,24.625494022299,46.6844916343689
RUHSM541,24.6253794264026,46.6844862699509
RUHSM542,24.9065182947864,46.6434082388878
RUHSM543,24.9064526219956,46.6431882977486
RUHSM546,24.7902436855305,46.8545919656754
RUHSM547,24.7901097595178,46.8544578552246
RUHSM555,24.8721018851866,46.6604670882225
RUHSM556,24.8720069697679,46.6602981090546
RUHSM559,24.5441977464061,46.8807810544968
RUHSM560,24.5442490050968,46.8806630373001
RUHSM576,24.856359089514,46.7374357581139
RUHSM577,24.8563639531407,46.7373177409172
RUHTE304,24.5842414097686,46.7537328600884
RUHTE305,24.5903877908723,46.7684072256088
RUHTE306,24.5905317003463,46.7683106660843
RUHTE309,24.6524997358911,46.837058365345
RUHTE311,24.6064936135113,46.7306846380234
