lat,lon,parcel_type
24.741377,46.655416,villa
24.7426,46.655564,other
24.741657,46.655585,villa
24.741268,46.656237,other
24.741614,46.65473,other
24.742929,46.655752,other
24.740413,46.653104,villa
24.741068,46.656336,other
24.743224,46.65525,other
24.74155,46.655328,villa
24.741587,46.656428,other
24.740174,46.65599,palace
24.737058,46.65315,villa
24.741665,46.656036,other
24.740566,46.656589,other
24.740361,46.656693,other
24.736853,46.652665,villa
24.740615,46.652874,villa
24.740215,46.652276,other
24.737272,46.657281,villa
24.737005,46.652294,villa
24.741894,46.655154,villa
24.742305,46.656066,other
24.741557,46.651173,villa
24.743009,46.655357,other
24.741226,46.655567,villa
24.741309,46.65576,villa
24.737168,46.653405,villa
24.74183,46.655497,villa
24.737314,46.653021,villa
24.742356,46.654923,villa
24.740861,46.656441,other
24.741994,46.656224,other
24.741392,46.656527,other
24.740919,46.654201,villa
24.74059,46.654365,villa
24.741175,46.654073,villa
24.740483,46.656986,other
24.742001,46.655408,villa
24.740262,46.649306,villa
24.740985,46.656733,other
24.737212,46.652777,villa
24.742471,46.654446,villa
24.738951,46.652142,villa
24.737745,46.657238,villa
24.741138,46.651919,villa
24.738225,46.649516,other
24.742025,46.654376,villa
24.742028,46.650578,other
24.741394,46.649942,villa
24.741757,46.651071,villa
24.737492,46.649888,other
24.743587,46.654387,other
24.737453,46.658522,other
24.740062,46.654188,villa
24.739394,46.651176,villa
24.737748,46.656801,villa
24.737818,46.650074,villa
24.73811,46.65738,villa
24.742067,46.653625,villa
24.737533,46.648781,other
24.737299,46.648899,villa
24.738118,46.655644,villa
24.743387,46.653906,other
24.738176,46.655057,villa
24.739538,46.654102,villa
24.739808,46.652056,villa
24.741969,46.654767,villa
24.741173,46.652139,villa
24.742337,46.653488,villa
24.742717,46.654024,villa
24.738279,46.651734,villa
24.740695,46.654617,villa
24.741229,46.654349,villa
24.737063,46.648582,villa
24.74099,46.648966,villa
24.738413,46.649422,other
24.741358,46.651275,villa
24.73994,46.653898,villa
24.737214,46.658643,other
24.737411,46.64917,other
24.74079,46.648496,villa
24.736885,46.650194,other
24.738561,46.655964,villa
24.739282,46.652329,villa
24.740276,46.651466,villa
24.739901,46.651656,villa
24.741733,46.651624,villa
24.7404,46.651755,villa
24.739304,46.654204,villa
24.743475,46.654888,villa
24.741813,46.651817,villa
24.740171,46.649652,villa
24.741131,46.652514,villa
24.737991,46.657442,villa
24.737818,46.656353,villa
24.738466,46.652737,villa
24.738493,46.650505,villa
24.742128,46.654617,villa
24.738532,46.657624,other
24.737994,46.658244,other
24.742152,46.65087,other
24.739494,46.652225,villa
24.743039,46.653839,villa
24.73871,46.652265,villa
24.738517,46.654612,villa
24.738532,46.651608,villa
24.739331,46.65653,villa
24.740673,46.651262,villa
24.738349,46.649808,villa
24.740797,46.651551,villa
24.738186,46.657018,villa
24.743894,46.655116,other
24.74148,46.653922,villa
