Name,Type,Subtype,Latitude,Longitude,Arabic Name,Address,Phone,Website,Hours,Brand
Unnamed,leisure,swimming_pool,24.6682659,46.6789528,,,,,,
Unnamed,leisure,swimming_pool,24.6643952,46.6801759,,,,,,
Unnamed,leisure,pitch,24.6308409,46.6969987,,,,,,
Unnamed,leisure,pitch,24.6222778,46.6932973,,,,,,
Unnamed,leisure,pitch,24.620805,46.6893276,,,,,,
Unnamed,leisure,pitch,24.6217609,46.6911515,,,,,,
Unnamed,leisure,pitch,24.6280321,46.6932222,,,,,,
Unnamed,leisure,pitch,24.6201418,46.6963764,,,,,,
Unnamed,leisure,pitch,24.6225411,46.6953357,,,,,,
Unnamed,leisure,pitch,24.6217023,46.6989406,,,,,,
Unnamed,leisure,pitch,24.6275055,46.7032322,,,,,,
Unnamed,leisure,pitch,24.6433432,46.676689,,,,,,
Unnamed,leisure,swimming_pool,24.6460048,46.6734951,,,,,,
Unnamed,leisure,swimming_pool,24.6446188,46.6768104,,,,,,
Unnamed,leisure,swimming_pool,24.6452808,46.6735634,,,,,,
Unnamed,leisure,swimming_pool,24.6471425,46.6714543,,,,,,
Unnamed,leisure,swimming_pool,24.6431777,46.6793442,,,,,,
Unnamed,leisure,swimming_pool,24.6400195,46.6767421,,,,,,
Unnamed,leisure,swimming_pool,24.6415159,46.6732751,,,,,,
Unnamed,leisure,swimming_pool,24.6407435,46.6740944,,,,,,
Unnamed,leisure,swimming_pool,24.6552166,46.6803305,,,,,,
Unnamed,leisure,swimming_pool,24.6550718,46.6834788,,,,,,
Unnamed,leisure,swimming_pool,24.6582847,46.6846775,,,,,,
Unnamed,leisure,swimming_pool,24.6570782,46.6816884,,,,,,
Unnamed,leisure,playground,24.6506301,46.6980052,,,,,,
Unnamed,leisure,pitch,24.6517215,46.691307,,,,,,
Unnamed,leisure,pitch,24.6512664,46.6911477,,,,,,
Unnamed,leisure,swimming_pool,24.6732024,46.6825452,,,,,,
Unnamed,leisure,swimming_pool,24.6661291,46.6713496,,,,,,
Unnamed,leisure,pitch,24.6647982,46.6978822,,,,,,
Unnamed,leisure,swimming_pool,24.6664322,46.6959742,,,,,,
Unnamed,leisure,park,24.603262,46.6631895,,,,,,
Unnamed,leisure,park,24.590319,46.6656078,,,,,,
Unnamed,leisure,park,24.592377,46.6152935,,,,,,
Unnamed,leisure,playground,24.5967642,46.6121831,,,,,,
Unnamed,leisure,park,24.5787866,46.624291,,,,,,
Unnamed,leisure,park,24.5765789,46.6451537,,,,,,
Unnamed,leisure,swimming_pool,24.7235777,46.7447461,,,,,,
Unnamed,leisure,swimming_pool,24.7249275,46.7482544,,,,,,
Unnamed,leisure,swimming_pool,24.7140594,46.7516233,,,,,,
Unnamed,leisure,swimming_pool,24.6949063,46.737247,,,,,,
Unnamed,leisure,pitch,24.6978608,46.7158915,,,,,,
Unnamed,leisure,pitch,24.699901,46.7149659,,,,,,
Unnamed,leisure,pitch,24.7048503,46.7186653,,,,,,
Unnamed,leisure,swimming_pool,24.6666567,46.6665576,,,,,,
Unnamed,leisure,swimming_pool,24.6695877,46.6527767,,,,,,
