trip_id,lat,lon,pickup_time,dropoff_time,distance_km,duration_sec,cost,car_model,car_cat,gender,gps_points,max_speed,avg_speed
1195650,,,2016-01-30 21:22:27,2016-01-30 21:34:10,11.37,0,,Camry,,female,140,145.6,52.8
1195649,,,2016-01-30 21:19:58,2016-01-30 21:24:41,1.84,0,,Elentra,,male,55,48.4,20.6
1195619,,,2016-01-31 04:35:50,2016-01-31 05:36:03,19.99,0,,santafe,,female,742,148.1,19.9
1195781,,,2016-01-31 07:37:04,2016-01-31 07:50:48,9.22,0,,Fortuner,,female,164,158.2,32.6
1194844,,,2016-01-31 04:26:05,2016-01-31 05:29:53,57.02,0,,lexus,,female,764,152.9,47.0
1195708,,,2016-01-31 03:57:52,2016-01-31 04:33:21,16.94,0,,Tausan,,female,388,126.0,25.8
1195862,,,2016-01-31 11:00:06,2016-01-31 11:41:14,25.38,0,,Innova,,female,513,124.2,34.2
1196036,,,2016-01-31 14:41:14,2016-01-31 14:48:29,2.36,0,,elantra,,female,86,70.3,19.5
1195826,,,2016-01-31 09:42:24,2016-01-31 10:53:10,50.32,0,,Lexus,,male,854,157.8,40.3
1195901,,,2016-01-31 12:02:14,2016-01-31 13:23:32,57.17,0,,Innova,,N/A,994,159.7,38.6
1195886,,,2016-01-31 13:21:45,2016-01-31 13:24:06,0.0,0,,CAMARE,,male,28,13.4,1.7
1196216,,,2016-01-31 19:19:09,2016-01-31 20:20:22,31.96,0,,Sonata,,N/A,728,145.8,30.5
1196045,,,2016-01-31 15:07:35,2016-01-31 15:31:42,21.06,0,,Innova,,female,288,123.4,51.7
1195983,,,2016-01-31 13:40:14,2016-01-31 13:49:33,6.76,0,,Innova,,female,111,146.0,43.6
1195734,,,2016-01-31 05:03:52,2016-01-31 05:21:41,6.64,0,,Taurus,,female,193,85.5,22.4
1195731,,,2016-01-31 05:21:11,2016-01-31 05:46:56,17.2,0,,Lexus,,female,308,100.9,39.9
1195721,,,2016-01-31 04:38:50,2016-01-31 05:12:48,19.92,0,,Altima,,female,386,574.3,26.0
1196209,,,2016-01-31 19:15:56,2016-01-31 19:29:54,4.99,0,,Azeera,,N/A,187,116.8,24.2
1195847,,,2016-01-31 10:26:02,2016-01-31 11:15:26,34.86,0,,Innova,,female,612,147.4,41.1
1196015,,,2016-01-31 14:16:40,2016-01-31 14:32:53,12.12,0,,Elentra,,female,214,106.4,43.4
