name,lat,lon,address,category,types,rating
مطاعم التركستانی البخاري,24.4112602,46.837401,"حي 9061 3204, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",3.8
منتو يغمش التركستاني,24.4094436,46.8371408,"Al Haeer Road, CR5P+QVC, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",3.9
بوفية الراقي,24.4095728,46.8371214,"CR5P+RRH, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",4.2
Green Apple Restaurant,24.4098485,46.837047,"Al Haeer Road, CR5P+WRM, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",3.3
مطاعم روعة النورس,24.4072757,46.8370767,"509, CR4P+WR8, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",3.6
مطبخ الخرعان,24.4081686,46.8369557,"CR5P+7Q8, طريق الحائر، حي, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",4.2
مطعم سما الخير البخاري,24.4056341,46.8368683,Riyadh,Restaurants,"restaurant,food,point_of_interest,establishment",4.2
أكلات شعبيه مذاق الحائر,24.403519,46.8368218,"CR3P+CP4, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",4.1
قمة عصير اليوم,24.4035803,46.8367422,طريق الحائر، الحائر، الرياض 14768،,Restaurants,"restaurant,food,point_of_interest,establishment",3.9
بيتزا حكايه الشمال الحاير,24.4034287,46.836749,"CR3P+9MH, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",4.1
مطعم شورما وبروسدت حكاية السمال,24.4033911,46.83675590000001,"CR3P+9P2, Riyadh",Restaurants,"restaurant,food,point_of_interest,establishment",5
مصنع لمسة الشوكولاته للحلويات,24.4115625,46.87581249999999,"CV6G+J8, Riyadh",Restaurants,"cafe,store,point_of_interest,food,establishment",4.5
مقهى ربيع,24.4147504,46.8447454,"CR7V+WV5, Riyadh",Restaurants,"cafe,point_of_interest,food,establishment",3.3
Al Haeer Coffee Shop مقهى الحائر,24.4147446,46.8447315,"RMHA9468، 9468 الشيماء، 3896, الرياض",Restaurants,"cafe,store,point_of_interest,food,establishment",
مجلس عبدالله بن محمد التمامي,24.410064,46.8414904,"RMHB3611، 3611 جفران بن سعد آل جفران السبيعي، 8919, Riyadh",Restaurants,"cafe,store,point_of_interest,food,establishment",
يوني لاك كافي,24.4081925,46.83905719999999,"CR5Q+6J6, Riyadh",Restaurants,"cafe,store,point_of_interest,food,establishment",5
تسالي جني,24.4044209,46.839569,"CR3Q+QR8, Riyadh",Restaurants,"cafe,store,point_of_interest,food,establishment",
كافيه هات استار,24.4226556,46.8422828,"2737 Al Haeer Road, Riyadh",Restaurants,"cafe,store,point_of_interest,food,establishment",4.9
