place_id,name,lat,lng,types
ChIJl1ZFbuUFLz4REM_1yU1j2pc,سكن شركة مجموعة بن جار الله,24.6217065,46.6944549,"lodging,point_of_interest,establishment"
ChIJG9IbIQAFLz4R1ejSGjg9T4E,منزل معتز دعبول,24.6113846,46.6996321,"lodging,point_of_interest,establishment"
ChIJwZkAMAAFLz4R490AbtrYF-k,Rumah,24.6212738,46.6929038,"lodging,point_of_interest,establishment"
ChIJ0RWi9nQFLz4R3iYYGO2qb-M,SGP Riyadh Residence,24.6499603,46.744919,"point_of_interest,establishment"
ChIJaVlS0i4FLz4RnQYMLHGTIuo,Saniyah,24.6399001,46.74038789999999,"point_of_interest,establishment"
ChIJAafBn4sHLz4Rmk4fM0qGzd0,مجمع الملز,24.6532633,46.7532903,"point_of_interest,establishment"
ChIJ97tZFwAHLz4RSniDhmU-kB4,karikkana home,24.632538,46.751967,"point_of_interest,establishment"
ChIJh653EqgHLz4Rij7TEEJZCDs,Sanaiya,24.6413669,46.75005669999999,"point_of_interest,establishment"
ChIJERSIOQAFLz4RefptElXqOVA,CNC WOOD WORKING,24.638745,46.7468114,"point_of_interest,establishment"
ChIJLcGfEAAFLz4Re31cilZgQks,KGF HOME MALAZ,24.6522051,46.7403105,"point_of_interest,establishment"
ChIJL3hNFYUFLz4Rwbal0hAa-ms,ورشة اعماق العربة,24.6361157,46.7414993,"point_of_interest,establishment"
ChIJ6RG3dQAHLz4Ry2jOz9SNQko,السعوديه الرياض,24.6400844,46.7506389,"lodging,point_of_interest,establishment"
ChIJB3hh8AUFLz4RlxACyqIhSA0,Al jazeera,24.6407568,46.7426424,"lodging,point_of_interest,establishment"
ChIJQ_3LEwAHLz4R96c0cIeHda8,لجدع الطهيفي,24.637912,46.748647,"lodging,point_of_interest,establishment"
ChIJfVMzIiMHLz4RuQ-HV_14Tzc,Rumman,24.638351,46.749872,"lodging,point_of_interest,establishment"
ChIJtZHJegAFLz4RO6AUOQBuDuk,مطعم ساحہ الماس,24.6370687,46.746092,"lodging,point_of_interest,establishment"
ChIJJwEdLr8FLz4RrXvc5LyzgAg,سكن الملاحين المؤسسة العامة للخطوط الحديدية,24.6501126,46.7438145,"lodging,point_of_interest,establishment"
ChIJMQofNAAHLz4RSOqezUv0Wbk,Rana,24.63642209999999,46.7544778,"lodging,point_of_interest,establishment"
ChIJNRHIV2gHLz4Rp5pUt_HigH4,شركة تاج الحديد,24.6321911,46.750015,"lodging,point_of_interest,establishment"
ChIJmSAgIQAFLz4Rxp0oSn79hqs,King Dawar Dera (Umar),24.6139331,46.7136631,"point_of_interest,establishment"
ChIJMZcwHgAFLz4RG2G_hkfLf5E,Manfouha Jadeed,24.6099876,46.7178489,"point_of_interest,establishment"
ChIJDZmDTwAFLz4RvFxdwgjLZDU,Haji Faryad House,24.6089303,46.7141856,"point_of_interest,establishment"
ChIJdUYNLwAFLz4RFeIpbJwrKZM,Saiful villa 13579,24.6189798,46.7240824,"point_of_interest,establishment"
ChIJjx7AXwAFLz4RsXYj9NV_Ikk,DERA LOHAR FAMILY,24.61598,46.7117172,"point_of_interest,establishment"
ChIJwa9oYgAFLz4R5QdDIijvlug,Abbas Zubair Deira Home,24.6118091,46.7243601,"point_of_interest,establishment"
ChIJV3gWHQAFLz4ROVj_ydwE2Y0,House Number 85,24.6188639,46.7240608,"point_of_interest,establishment"
ChIJTSV5EAAFLz4RP_e4J1-9sV0,Zakir apartment,24.6114167,46.7133121,"point_of_interest,establishment"
ChIJedheIAAFLz4R4LO8HEc8RlE,Zikran Dawar khaddi,24.6143608,46.71481929999999,"point_of_interest,establishment"
ChIJS9oDXAAFLz4RA7nUj2NSKNQ,TAKOR,24.607079,46.711605,"point_of_interest,establishment"
ChIJkzOrQgAFLz4Rf1Iajh8Y0Ds,Nana house,24.6143731,46.7138341,"point_of_interest,establishment"
ChIJ45hR5k0FLz4RsOTCnw0987s,Arabian Gulf Company Accommodation,24.6088684,46.71631,"point_of_interest,establishment"
ChIJNXBqJQAFLz4RwRhE9eqN3LM,Uzair accommodation,24.6162263,46.7134572,"point_of_interest,establishment"
ChIJ1-0VpCIFLz4RzhS_K7DQ078,Lala dera,24.6194,46.7231805,"point_of_interest,establishment"
ChIJxdVDCAAFLz4RVx3rlXQzNZM,Zikran khan,24.6143732,46.71481290000001,"point_of_interest,establishment"
ChIJl3Y4bgAFLz4RzdDDDWJhzGI,Manpuha,24.6181622,46.7139291,"point_of_interest,establishment"
ChIJIxD2FwAFLz4RAPheeZib1kQ,پٹھان ہاؤس,24.6118347,46.7127442,"point_of_interest,establishment"
ChIJY51dYAAFLz4RksR1wX3P7eE,دیرہ عمر خیات,24.6099892,46.7148274,"point_of_interest,establishment"
ChIJy2dPhBcFLz4R_bzmjLFufdo,منفوحة الجديدة,24.6166672,46.7254601,"point_of_interest,establishment"
ChIJky79PQAFLz4RC22Elpwk3BA,عتيقة,24.6074739,46.71401100000001,"point_of_interest,establishment"
ChIJX_y_BwAFLz4Rtp92qJFYXnE,ابوغراب,24.6124164,46.7192057,"point_of_interest,establishment"
ChIJz_-EIQAFLz4REASkmeJW5GE,SKY Telecom Residence Manfuha,24.6125109,46.7124302,"point_of_interest,establishment"
ChIJ_zRHaAAFLz4RXcGt_294VNg,الدكتور حمزه عطا,24.6110322,46.7242067,"point_of_interest,establishment"
ChIJHUjcZwAFLz4RysxQRQqk8cw,عزبة الشيخ صبري,24.6088941,46.7223352,"point_of_interest,establishment"
ChIJd8zwXAAFLz4RApDd9PEsvq8,GIRARAI HOUSE 2,24.6113187,46.7116537,"point_of_interest,establishment"
ChIJP-4RSwAFLz4RYTarKu88jXI,Mandew House,24.6123628,46.7176436,"point_of_interest,establishment"
ChIJN15tIwAFLz4Rvz3GJqJZ5mE,Ali Vision Exp,24.6144917,46.7244422,"point_of_interest,establishment"
ChIJ78jv0KcFLz4RQgmwxcVH72M,بتنا,24.6159362,46.7211858,"point_of_interest,establishment"
ChIJwzGcMHwFLz4RON9cdjrRWgU,My home البيت,24.6150173,46.7241519,"point_of_interest,establishment"
ChIJc8gWDAAFLz4RfY6Wdf3J2Io,Ateeqa room,24.6064132,46.7110899,"point_of_interest,establishment"
ChIJxTwvYAAFLz4R9vdOjtI_GFI,حي الحلوين,24.6113075,46.7267202,"point_of_interest,establishment"
ChIJowVneQAFLz4RkNBj72SXZ0U,بيت آل باكنا,24.612633,46.7133615,"point_of_interest,establishment"
ChIJJRauDQAFLz4R_BQbOBF94EY,Da gehri walo dera,24.6157577,46.72360550000001,"point_of_interest,establishment"
ChIJvWd9EwAFLz4RRl8VJKLQZWs,عطاءاللہ خان دیرہ,24.6160806,46.712826,"point_of_interest,establishment"
ChIJGylZQgAFLz4RaPIvltUIDRM,Stay,24.6136948,46.71093519999999,"point_of_interest,establishment"
ChIJQd-SDQAFLz4ROzf6RQwEdr8,جانی خیل دیرہ,24.6080168,46.7196883,"point_of_interest,establishment"
ChIJN64F3xsFLz4R9K8KpfXRuMk,Boksh,24.6130632,46.7177903,"lodging,point_of_interest,establishment"
ChIJIRvGSHQFLz4RsMdt-KU3Ky4,الخليفة للعمرة والزيارة,24.6140695,46.7197417,"lodging,point_of_interest,establishment"
ChIJi5mNeAAFLz4RZp50xmVUbM8,البيت,24.6119347,46.7208816,"lodging,point_of_interest,establishment"
ChIJbdyMSYsFLz4RFi4kiv1C6sY,Bangali,24.6105614,46.7194473,"lodging,point_of_interest,establishment"
ChIJQRWzHAAFLz4R14MIDbQveAQ,محمود الغرباوى,24.6099876,46.71784890000001,"lodging,point_of_interest,establishment"
ChIJq3AECgAFLz4RdFEA9mtZG0U,سكن الحاج,24.6099876,46.71784890000001,"lodging,point_of_interest,establishment"
ChIJ5e2QagAFLz4R_VGkwgYqcEg,احمد رجب,24.6099876,46.71784890000001,"lodging,point_of_interest,establishment"
ChIJF_AlIQAFLz4RcStiT70LHB8,Yaseen khan,24.6137278,46.7216617,"lodging,point_of_interest,establishment"
ChIJJ7RxPwAFLz4RD9-fe8dl1R8,جمعية أبناء القرير بالمملكة العربية السعودية,24.610947,46.71534949999999,"lodging,point_of_interest,establishment"
ChIJyyBI3jEFLz4RZfAbNv1OH4A,المعلم ضاحي واحد بس,24.6144305,46.72172,"campground,park,lodging,point_of_interest,establishment"
ChIJSUMXSNAFLz4RnmUE1EhPJMQ,عماره منفوحة المباعة,24.6109441,46.7149914,"lodging,point_of_interest,establishment"
ChIJleXfFAAFLz4RZovOwobT9V4,Kaleem home,24.6142371,46.7227902,"lodging,point_of_interest,establishment"
ChIJtUp3SwAFLz4RGiEpUuLeSj8,يحي عوكل المنفوحه العام,24.6156214,46.7223807,"lodging,point_of_interest,establishment"
