latitude,longitude,type,name,district
24.8132554,46.6522786,Residential - Other,مجمع الياسمين,
24.8117573,46.6491192,Residential - Other,Unnamed,
24.8127918,46.6516066,Residential - Other,Unnamed,
24.812723,46.651415,Residential - Other,Unnamed,
24.8124389,46.6507405,Residential - Other,Unnamed,
24.8126781,46.651296,Residential - Other,Unnamed,
24.8126284,46.6511934,Residential - Other,Unnamed,
24.8125806,46.6510672,Residential - Other,Unnamed,
24.8125343,46.6509706,Residential - Other,Unnamed,
24.8124883,46.6508446,Residential - Other,Unnamed,
24.8123891,46.6506236,Residential - Other,Unnamed,
24.8123445,46.65052,Residential - Other,Unnamed,
24.8121098,46.6499665,Residential - Other,Unnamed,
24.8121584,46.6500858,Residential - Other,Unnamed,
24.8122104,46.6501853,Residential - Other,Unnamed,
24.8122555,46.6502955,Residential - Other,Unnamed,
24.8123027,46.6504031,Residential - Other,Unnamed,
24.8067524,46.6587513,Residential - Other,Unnamed,
24.8069163,46.6586756,Residential - Other,Unnamed,
24.8075018,46.6583837,Residential - Other,Unnamed,
24.8073577,46.6584845,Residential - Other,Unnamed,
24.8049794,46.6515393,Residential - Other,Unnamed,
24.8102078,46.6523794,Residential - Other,Unnamed,
24.6887648,46.7276512,Residential - Other,Unnamed,
24.6915661,46.7295093,Residential - Other,Unnamed,
24.8135302,46.6548272,Residential - Other,Unnamed,
24.8137408,46.6547276,Residential - Other,Unnamed,
24.8134058,46.6545661,Residential - Other,Unnamed,
24.8136325,46.6544778,Residential - Other,Unnamed,
24.8135578,46.6543236,Residential - Other,Unnamed,
24.8135131,46.6541921,Residential - Other,Unnamed,
24.81346,46.6540736,Residential - Other,Unnamed,
24.8132651,46.6541581,Residential - Other,Unnamed,
24.8132082,46.654038,Residential - Other,Unnamed,
24.8131546,46.6539164,Residential - Other,Unnamed,
24.8131061,46.6537926,Residential - Other,Unnamed,
24.8130504,46.6536692,Residential - Other,Unnamed,
24.8130021,46.6535468,Residential - Other,Unnamed,
24.8129546,46.6534286,Residential - Other,Unnamed,
24.8128943,46.6532886,Residential - Other,Unnamed,
24.8133927,46.6539608,Residential - Other,Unnamed,
24.8133546,46.6538407,Residential - Other,Unnamed,
24.8133034,46.6537216,Residential - Other,Unnamed,
24.8131288,46.6533204,Residential - Other,Unnamed,
24.8131893,46.6534595,Residential - Other,Unnamed,
24.8132427,46.6535877,Residential - Other,Unnamed,
24.811044,46.648977,Residential - Other,Unnamed,
24.8112403,46.6488722,Residential - Other,Unnamed,
24.81159,46.6502601,Residential - Other,Unnamed,
24.8117856,46.6501651,Residential - Other,Unnamed,
