lat,lon,parcel_type,parcel_id,landuseagroup,area_sqm
24.727851816,46.645822227,villa,1398667,سكني,866.6460126273687
24.730843512,46.643770337,villa,1405723,سكني,963.8575743057066
24.731550009,46.642118096,villa,14252717,سكني,740.2145870604902
24.731435508,46.642329991,villa,14252720,سكني,741.4858282599324
24.730709521,46.6481933,villa,1398703,سكني,609.736540725645
24.732561025,46.646423042,villa,1404661,سكني,962.2132089021562
24.729347673,46.642313898,villa,13905293,سكني,549.974065747059
24.729786194,46.646087766,villa,1392933,سكني,872.726456026774
24.732565897,46.641409993,villa,3355775,سكني,645.1879851719267
24.735793782,46.643845439,villa,1411424,سكني,1184.9300642441976
24.732938631,46.643933952,villa,1411429,سكني,1104.3922802088773
24.728470626,46.644406021,villa,1411340,سكني,368.48485616159417
24.729837355,46.644159257,apartment,1411352,متعدد الاستخدام,450.1222236803979
24.726721385,46.639658511,villa,1411356,سكني,304.77936632027405
24.730115084,46.641045213,villa,1411376,سكني,420.63957316367174
24.736658598,46.647874117,villa,1405586,سكني,1703.462818578557
24.730241768,46.641112268,villa,1411408,سكني,419.2503651479778
24.734017847,46.642482877,villa,1405788,سكني,307.3692408295328
24.732709631,46.644432843,villa,1405680,سكني,1046.9972657185954
24.732495248,46.644929051,villa,1405677,سكني,987.0834067245133
24.734385704,46.641651392,apartment,1405749,متعدد الاستخدام,1003.4583582646208
24.728801955,46.643625498,apartment,1405702,متعدد الاستخدام,927.0133733597575
24.732461142,46.641074717,villa,1405732,سكني,1026.041122570035
24.731328316,46.641415358,apartment,1405735,متعدد الاستخدام,1053.8488675057683
24.729703363,46.640811861,apartment,1405738,متعدد الاستخدام,926.4050862950542
24.735345538,46.645508409,villa,3802913,سكني,503.9496142896936
24.732380748,46.647364497,villa,1404111,سكني,619.8445053620063
24.732285737,46.647584438,villa,1403544,سكني,592.7341952739524
24.730063924,46.640634835,villa,1405357,سكني,1040.8694196008028
24.732103024,46.645028293,villa,1405328,سكني,970.2015411420252
24.730948269,46.643520892,villa,1405726,سكني,978.2922150982389
24.727145298,46.641975939,other,13768618,مرافق الكهرباء,172.60187853969242
24.726891924,46.641847193,villa,13768622,سكني,268.02112966468803
24.727103881,46.641678214,other,13768624,الخدمات الدينية,1576.2578173211612
24.727191587,46.641477048,other,13768626,مرافق المواصلات,451.02630061831536
24.728426773,46.641359031,other,13768614,مرافق الكهرباء,10.046726216954937
24.727717822,46.641584337,villa,14342653,سكني,360.4427102758253
24.72735969,46.64031297,villa,13898891,سكني,482.49391074680653
24.726787164,46.643311679,apartment,1398716,متعدد الاستخدام,880.8376908506305
24.732193162,46.647801697,villa,1404064,سكني,612.5204425349286
24.729469485,46.643099785,villa,1402348,سكني,890.3033167509423
24.72988608,46.644896865,apartment,1399521,متعدد الاستخدام,882.9896249493438
24.732790025,46.641691625,other,13553837,مرافق الكهرباء,9.949127931536124
24.732064045,46.641469002,villa,1405731,سكني,1022.7341101805025
24.734412501,46.645698845,villa,1405480,سكني,1332.3436249308065
