place_id,name,lat,lon,address,types,rating
ChIJ9V6GC6-ZLz4RdGIhmqdX4HU,BENGALI RESTAURANT,24.5072336,46.9040137,"المصفاة،, RMFC4691، 4691 الصحابة، 6693، حي, الرياض","restaurant,food,point_of_interest,establishment",3.6
ChIJA198QwCZLz4RO5ZF9fgMVXk,"12 No,12 villa, Daimond hotel,jumma Masjid",24.507441,46.9040965,"GW43+XJH, Riyadh","restaurant,food,point_of_interest,establishment",
ChIJ-xUdSACZLz4R1y-VeylRSpk,Bangladeshi Restaurant,24.5064907,46.9058694,"RMFA4898، 4898 الصحابة، 6624, الرياض","restaurant,food,point_of_interest,establishment",3.7
ChIJ37AfAQCfLz4Rpw_utp7mwas,New Saikot Resturant,24.5081553,46.9026705,"RMFC4549، 4549 الصحابة، 6790, الرياض","restaurant,food,point_of_interest,establishment",5
ChIJ67S_DwCZLz4RyuSSPhS6q-w,Bangladeshi Restaurant,24.5077479,46.9039225,"RMFB4700، 4700 الصحابة، 6764, الرياض","restaurant,food,point_of_interest,establishment",4.8
ChIJyxq8W0SZLz4R4baXiE9j7_4,عمارة بركوك,24.508216,46.903254,"GW53+78J, Riyadh","restaurant,food,point_of_interest,establishment",3.9
ChIJkdcGWXKZLz4RaSsIByICAM0,Lahore Restaurant ~شركة سماكم بقاري,24.5084463,46.9028208,"Near Saudi Ceramic New Villa Old, Al Kharj Road, Exit 12, Riyadh","restaurant,food,point_of_interest,establishment",3.9
ChIJz-2SClSfLz4RVGeZ0Z8cgxs,Samacom Indian Cafe,24.50908919999999,46.90203,"Exit 12, Al Kharj Road, Riyadh","restaurant,food,point_of_interest,establishment",3.7
ChIJ_z8QZACfLz4RSa9lM8-DOrc,مطعم الوجبات السریغ,24.50924920000001,46.9015618,"GW52+MJQ, Riyadh","restaurant,food,point_of_interest,establishment",5
ChIJGUHfT7ifLz4RkYT58m8HSeo,Taj Al Zafraan Restaurant,24.5105461,46.89893790000001,"Sahaba Street, Riyadh","restaurant,food,point_of_interest,establishment",5
ChIJX7Z_LQCfLz4RYaN49t713Ck,Islamabad Inn Bukhari Restaurant اسلام آباد ان بخاری مطعم,24.5105461,46.89893790000001,"Opposite Taj Al Zafraan (Pakistani Restaurant), Sahaba Street, Riyadh","restaurant,food,point_of_interest,establishment",4.4
ChIJqU1sJQCZLz4RNYhXPEk-4gU,Bangali restaurant,24.5038344,46.91329189999999,"Unnamed Road, GW37+G8F, Riyadh","restaurant,food,point_of_interest,establishment",
ChIJ9R4pVACZLz4RE-EkEqYz8Ek,Alati Alotani For Sharia Meals,24.5038344,46.91329189999999,"Bangali Market, Riyadh","restaurant,food,point_of_interest,establishment",5
ChIJDUGudwCZLz4RVUE3jXqmA1g,شركة الوجبات العجيبة التجارية,24.4949597,46.9153785,"6734 وادي سعيا, RMFC3620، 3620, Riyadh","restaurant,food,point_of_interest,establishment",5
ChIJQSutPEAfLz4RqeIp1dYDIpU,KFC,24.6359375,46.5339375,Riyadh,"restaurant,point_of_interest,food,establishment",3.6
ChIJs-ciae8bLz4Rzv-CPA84pYY,Subway,24.614054,46.556124,"3696 Prince Ahmad Ibn Abdulaziz 6026, Wadi Laban Branch, الرياض","restaurant,point_of_interest,food,establishment",3.5
ChIJAXCu3tQeLz4RFUWSoP6-nZA,Maestro Pizza,24.6268875,46.55749,"الشفا،, الرياض","meal_delivery,meal_takeaway,restaurant,point_of_interest,food,establishment",3.9
ChIJSUWLjNQeLz4RKP26C0KWmC0,Al-Saudi Restaurant,24.62841929999999,46.5583919,"3510 Najd, Riyadh","restaurant,point_of_interest,food,establishment",3.8
ChIJ5UpGBNMeLz4RAtS8qmhlfQg,Burgerizzr B31,24.62942,46.56146299999999,الرياض,"restaurant,point_of_interest,food,establishment",4.1
ChIJAQ04hs0eLz4R_cOlaH9vkYI,McDonald's,24.631477,46.56466,"Laban, Riyadh","restaurant,point_of_interest,food,establishment",3.7
ChIJtx5o9M0eLz4RmvYobrVtiXI,Jan Burger - جان برجر‎,24.632401,46.56467000000001,"Najd, Riyadh","restaurant,point_of_interest,food,establishment",3.7
ChIJJy0z8s0eLz4RjnxvFPZScNs,Abu Jbara Restaurant ابوجبارة,24.6325413,46.5648429,"JHJ7+XXJ, Riyadh","restaurant,point_of_interest,food,establishment",3.9
ChIJtVnf98seLz4ReJs8rjHjVo8,Hamburgini هامبرغيني - Dhahrat Laban,24.6323112,46.5657878,4185 الشفا الرياض 13781,"meal_delivery,restaurant,point_of_interest,food,establishment",3.9
ChIJCzYquM0eLz4RRVFln1NjjqE,KFC,24.6326132,46.5663484,Shefa St Dahyat Labn District,"restaurant,point_of_interest,food,establishment",3.5
ChIJZSLjHcweLz4RGsLtpzb0dJw,Al Romansiah,24.63484200000001,46.568347,"مخرج 33, Riyadh","restaurant,point_of_interest,food,establishment",4.5
ChIJlY50D5UZLz4RtdfjtAiS_Ho,Herfy,24.5774162,46.5757367,"عبد الرحمن الداخل، شارع بلال بن رباح، حي طويق, HHGG+X79, Riyadh","restaurant,point_of_interest,food,establishment",3.7
ChIJLTvyOZMZLz4R4BTgEEXkHDo,Kudu - Tuwaiq - Riyadh,24.5777535,46.5803146,"2448 Bilal Ibn Rabah, Riyadh","restaurant,meal_delivery,meal_takeaway,point_of_interest,food,establishment",3.8
ChIJ49k3qlQZLz4Rm6V_x2O-0ok,Derati Restaurant,24.6368753,46.58854249999999,"Prince Ahmed Bin Abdulaziz Road, Riyadh","restaurant,food,point_of_interest,establishment",3.7
ChIJh4TR0OwaLz4Riy8YpZlhMQI,Hardee's,24.6004174,46.6442813,"Aishah Bint Abi Bakr, Riyadh","restaurant,food,point_of_interest,establishment",3.8
ChIJB-FQ1-waLz4RCdFPFyBEZyk,KFC,24.6004069,46.6441676,"Aishah Bint Abi Bakr, Riyadh","restaurant,food,point_of_interest,establishment",3.7
ChIJE8eGWQAQLz4RRagp_Xgqc8g,Derati Restaurants & Kitchens,24.5881775,46.66901430000001,"Al Souweidi Al Aam, Riyadh","restaurant,food,point_of_interest,establishment",3.8
ChIJDXkIKhkQLz4RcR3mX5C4JHw,Mama Noura,24.5717473,46.6653609,"Aishah Bint Abi Bakr, Riyadh","restaurant,food,point_of_interest,establishment",4.2
ChIJQYSKDX4aLz4RaaG5jLNQ5CU,!ليتل سيزرز بيتزا! بيتزا Little Caesars Pizza! Pizza!,24.5805229,46.6309718,"Hamza Bin Abdulmutalab, Riyadh","meal_delivery,restaurant,food,point_of_interest,establishment",3.9
ChIJ-VyozvIaLz4Ro42YEQnnZQA,McDonald's,24.598766,46.640038,Riyadh,"restaurant,food,point_of_interest,establishment",3.6
ChIJUy220-waLz4Rr4Eg_30WJD0,Al Tazaj,24.6002206,46.6443952,"طريق عائشة بنت أبي بكر،, Riyadh","restaurant,food,point_of_interest,establishment",3.6
ChIJ65IPLgsaLz4RhhweqgjBK8E,KFC,24.5724179,46.61225279999999,"Makkah Road, Riyadh","restaurant,food,point_of_interest,establishment",3.5
ChIJt4kxUsEaLz4RCOUKyxtc7mk,Subway,24.626389,46.658896,"4776 Al Madinah Almunawaruh St, Riyadh","restaurant,food,point_of_interest,establishment",3.8
ChIJZf7jbGYaLz4R3_N-S2zDrGY,McDonald's,24.588635,46.623655,"Al Gharbiya, Riyadh","restaurant,food,point_of_interest,establishment",3.8
ChIJjaz0zJIZLz4R_CMTVKt2r60,KFC,24.5777937,46.58212329999999,"Bilal Ibn Rabah, Riyadh","restaurant,food,point_of_interest,establishment",3.6
ChIJxdr1vHIaLz4R7wyVFK3oER8,Cheese Restaurant,24.5787697,46.6136806,السويدي شارع الشيخ محمد بن عبداللطيفAs,"restaurant,food,point_of_interest,establishment",4
ChIJo-ouTJwQLz4RsAMdeflWbGk,Herfy,24.5692395,46.61903469999999,"Western Ring Road, HJ99+MJV, Riyadh","restaurant,food,point_of_interest,establishment",3.6
ChIJwTpP3WwaLz4RQ3X6KwUWgTQ,Maestro Pizza,24.5825227,46.61384040000001,طريق المدينة المنورة، العريجاء الغربية، الرياض 6655,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",4.2
ChIJlQhM72waLz4RS7MPVyXjJE0,Jan Burger - جان برجر‎,24.582688,46.61426700000001,"Al Madina Al Munawwarah Road, Riyadh","restaurant,food,point_of_interest,establishment",3.8
ChIJiUR3-2caLz4RTANuKB0ylnQ,WokKong - ووك كونج,24.5917799,46.62260299999999,Riyadh,"restaurant,food,point_of_interest,establishment",4
ChIJJbjm-mcaLz4Rbx1JEifk1W4,Domino's Pizza دومينوز بيتزا,24.591838,46.62282099999999,"6357-6405 Hamzah Ibn Abdul Muttalib St, الرياض","meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",3.9
ChIJUYqgCjgPLz4RnpoB7YhRuOk,KFC,24.59506409999999,46.737091,"Al Bathaa, Riyadh","restaurant,food,point_of_interest,establishment",3.9
ChIJ1cVl5EEELz4R5OEzVhvNnmQ,Kudu - Al Malaz,24.6663876,46.72442909999999,"Al Farazdaq Street, Riyadh","restaurant,meal_delivery,meal_takeaway,food,point_of_interest,establishment",4
ChIJnZ5ZSz0FLz4RihrvYGp1PxY,KFC,24.62540690000001,46.6889225,"Shemesi St, Riyadh","restaurant,food,point_of_interest,establishment",3.9
ChIJq84YFOEELz4ROWiv-CYRGpI,Herfy,24.6399265,46.6931508,8905 الامام عبدالعزيز بن محمد بن سعود الرياض 12741,"restaurant,food,point_of_interest,establishment",3.8
ChIJyX4wTlgFLz4R3iObwDBk8DE,KFC,24.5962469,46.6817783,"Al Souweidi Al Aam, Riyadh","restaurant,food,point_of_interest,establishment",3.9
ChIJN3jihUcFLz4Rw8bNf1QI5pk,Herfy,24.6131416,46.6820341,"JM7J+7R3, Riyadh","restaurant,food,point_of_interest,establishment",3.8
ChIJXRidP34FLz4RnG3cNGpCmtg,Subway,24.59907999999999,46.698334,"8043 Main Street, Block #3543 Al-Suwaidi, الرياض","restaurant,food,point_of_interest,establishment",3.7
ChIJvSR3omIFLz4RzCu5Zyoj5lE,McDonald's,24.601027,46.69856499999999,"Qaser Mall, Riyadh","restaurant,food,point_of_interest,establishment",3.8
